order,family,common_name,scientific_name,introduced,accidental,extirpated,global_status,status_code,notes
Anseriformes,Anatidae,Fulvous Whistling-Duck,Dendrocygna bicolor,,,,,,
Anseriformes,Anatidae,Ross's Goose,Anser canagicus,,,,,,
Anseriformes,Anatidae,Anser canagicus,Anser caerulescens,,,,,,
Anseriformes,Anatidae,Anser caerulescens,Anser rossii,,,,,,
Anseriformes,Anatidae,Greater White-fronted Goose,Anser albifrons,,,,,,
Anseriformes,Anatidae,Northern Shoveler,Anser fabalis,,,,,,
Anseriformes,Anatidae,Anser fabalis,Anser brachyrhynchus,,,,,,
Anseriformes,Anatidae,Anser brachyrhynchus,Branta bernicla,,,,,,
Anseriformes,Anatidae,Branta bernicla,Branta hutchinsii,,,,,,
Anseriformes,Anatidae,Branta hutchinsii,Branta canadensis,,,,,,
Anseriformes,Anatidae,Branta canadensis,Cygnus olor,,,,,,
Anseriformes,Anatidae,Cygnus olor,Cygnus buccinator,,,,,,
Anseriformes,Anatidae,Cygnus buccinator,Cygnus columbianus,,,,,,
Anseriformes,Anatidae,Cygnus columbianus,Cygnus cygnus,,,,,,
Anseriformes,Anatidae,Cygnus cygnus,Aix sponsa,,,,,,
Anseriformes,Anatidae,Aix sponsa,Sibirionetta formosa,,,,,,
Anseriformes,Anatidae,Sibirionetta formosa,Spatula querquedula,,,,,,
Anseriformes,Anatidae,Spatula querquedula,Spatula discors,,,,,,
Anseriformes,Anatidae,Spatula discors,Spatula cyanoptera,,,,,,
Anseriformes,Anatidae,Spatula cyanoptera,Spatula clypeata,,Yes,,,,Rare/Accidental
Anseriformes,Anatidae,Rare/Accidental,Introduced species,,Yes,,,,Rare/Accidental
Anseriformes,Anatidae,Mallard,Mareca strepera,,,,,,
Anseriformes,Anatidae,Mareca strepera,Mareca falcata,,,,,,
Anseriformes,Anatidae,Mareca falcata,Mareca penelope,,,,,,
Anseriformes,Anatidae,Mareca penelope,Mareca americana,,,,,,
Anseriformes,Anatidae,Mareca americana,Anas platyrhynchos,,,,,,
Anseriformes,Anatidae,American Black Duck,Anas rubripes,,Yes,,,,Rare/Accidental
Anseriformes,Anatidae,Surf Scoter,Anas acuta,,,,,,
Anseriformes,Anatidae,Anas acuta,Anas crecca,,,,,,
Anseriformes,Anatidae,Anas crecca,Aythya valisineria,,,,,,
Anseriformes,Anatidae,Aythya valisineria,Aythya americana,,,,,,
Anseriformes,Anatidae,Aythya americana,Aythya ferina,,,,,,
Anseriformes,Anatidae,Aythya ferina,Aythya collaris,,,,,,
Anseriformes,Anatidae,Aythya collaris,Aythya fuligula,,,,,,
Anseriformes,Anatidae,Aythya fuligula,Aythya marila,,,,,,
Anseriformes,Anatidae,Aythya marila,Aythya affinis,,,,,,
Anseriformes,Anatidae,Aythya affinis,Polysticta stelleri,,,,,,
Anseriformes,Anatidae,Polysticta stelleri,Somateria fischeri,,,,,,
Anseriformes,Anatidae,Somateria fischeri,Somateria spectabilis,,,,,,
Anseriformes,Anatidae,Somateria spectabilis,Somateria mollissima,,,,,,
Anseriformes,Anatidae,Somateria mollissima,Histrionicus histrionicus,,,,,,
Anseriformes,Anatidae,Histrionicus histrionicus,Melanitta perspicillata,,,,,,
Anseriformes,Anatidae,White-winged Scoter,Melanitta deglandi,,,,,,
Anseriformes,Anatidae,Smew,Melanitta americana,,,,,,
Anseriformes,Anatidae,Melanitta americana,Clangula hyemalis,,,,,,
Anseriformes,Anatidae,Clangula hyemalis,Bucephala albeola,,,,,,
Anseriformes,Anatidae,Bucephala albeola,Bucephala clangula,,,,,,
Anseriformes,Anatidae,Bucephala clangula,Bucephala islandica,,,,,,
Anseriformes,Anatidae,Bucephala islandica,Mergellus albellus,,,,,,
Anseriformes,Anatidae,Hooded Merganser,Lophodytes cucullatus,,,,,,
Anseriformes,Anatidae,Common Merganser,Mergus merganser,,,,,,
Anseriformes,Anatidae,Red-breasted Merganser,Mergus serrator,,,,,,
Anseriformes,Anatidae,Ruddy Duck,Oxyura jamaicensis,,Yes,,Vulnerable,VU,Rare/Accidental [VU]
Galliformes,Odontophoridae,California Quail,Oreortyx pictus,,,,,,
Galliformes,Odontophoridae,Oreortyx pictus,Callipepla californica,,,,,,
Galliformes,Phasianidae,Ruffed Grouse,Meleagris gallopavo,,,,,,
Galliformes,Phasianidae,Meleagris gallopavo,Bonasa umbellus,,,,,,
Galliformes,Phasianidae,Bonasa umbellus,Introduced species,Yes,,,,,Introduced species
Galliformes,Phasianidae,Introduced species,Introduced species,,,,,,
Galliformes,Phasianidae,Greater Sage-Grouse,Centrocercus urophasianus,,,Yes,Near Threatened,NT,Extirpated [NT]
Galliformes,Phasianidae,Sooty Grouse,Dendragapus obscurus,,,,,,
Galliformes,Phasianidae,Dendragapus obscurus,Dendragapus fuliginosus,,,,,,
Galliformes,Phasianidae,Sharp-tailed Grouse,Tympanuchus phasianellus,,,,,,
Galliformes,Phasianidae,Gray Partridge,Lagopus leucura,,,,,,
Galliformes,Phasianidae,Lagopus leucura,Lagopus lagopus,,,,,,
Galliformes,Phasianidae,Lagopus lagopus,Lagopus muta,,,,,,
Galliformes,Phasianidae,Lagopus muta,Canachites canadensis,,,,,,
Galliformes,Phasianidae,Canachites canadensis,Perdix perdix,,,,,,
Galliformes,Phasianidae,Ring-necked Pheasant,Phasianus colchicus,,,,,,
Galliformes,Phasianidae,Chukar,Phasianus versicolor,,,,,,
Galliformes,Phasianidae,Phasianus versicolor,Lophura nycthemera,,,,,,
Galliformes,Phasianidae,Lophura nycthemera,Alectoris chukar,,,,,,
Columbiformes,Columbidae,Passenger Pigeon,Columba livia,,,,,,
Columbiformes,Columbidae,Columba livia,Patagioenas fasciata,,,,,,
Columbiformes,Columbidae,Patagioenas fasciata,Ectopistes migratorius,,,,,,
Columbiformes,Columbidae,Oriental Turtle-Dove,Streptopelia orientalis,,,,,,
Columbiformes,Columbidae,Eurasian Collared-Dove,Streptopelia decaocto,,,,,,
Columbiformes,Columbidae,Mourning Dove,Zenaida asiatica,,,,,,
Columbiformes,Columbidae,Zenaida asiatica,Zenaida macroura,Yes,,,,,Introduced species
Columbiformes,Columbidae,Introduced species,Introduced species,,,Yes,,,Extirpated
Columbiformes,Columbidae,Extirpated,Introduced species,Yes,,,,,Introduced species
Columbiformes,Columbidae,Rare/Accidental,Introduced species,,Yes,,,,Rare/Accidental
Cuculiformes,Cuculidae,Yellow-billed Cuckoo,Coccyzus americanus,,,,,,
Cuculiformes,Cuculidae,Black-billed Cuckoo,Coccyzus erythropthalmus,,Yes,,,,Rare/Accidental
Cuculiformes,Cuculidae,Common Cuckoo,Cuculus canorus,,Yes,,,,Rare/Accidental
Caprimulgiformes,Caprimulgidae,Lesser Nighthawk,Chordeiles acutipennis,,Yes,,,,Rare/Accidental
Caprimulgiformes,Caprimulgidae,Common Nighthawk,Chordeiles minor,,,,,,
Caprimulgiformes,Caprimulgidae,Common Poorwill,Phalaenoptilus nuttallii,,,,,,
Caprimulgiformes,Caprimulgidae,Eastern Whip-poor-will,Antrostomus vociferus,,,,,,
Apodiformes,Apodidae,House Swift,Cypseloides niger,,,,,,
Apodiformes,Apodidae,Cypseloides niger,Chaetura pelagica,,,,,,
Apodiformes,Apodidae,Chaetura pelagica,Chaetura vauxi,,,,,,
Apodiformes,Apodidae,Chaetura vauxi,Apus nipalensis,,,,,,
Apodiformes,Apodidae,White-throated Swift,Aeronautes saxatalis,,,,,,
Apodiformes,Trochilidae,Mexican Violetear,Colibri thalassinus,,,,,,
Apodiformes,Trochilidae,Rivoli's Hummingbird,Eugenes fulgens,,,,,,
Apodiformes,Trochilidae,Ruby-throated Hummingbird,Archilochus colubris,,,,,,
Apodiformes,Trochilidae,Black-chinned Hummingbird,Archilochus alexandri,,,,,,
Apodiformes,Trochilidae,Costa's Hummingbird,Calypte anna,,,,,,
Apodiformes,Trochilidae,Calypte anna,Calypte costae,,,,,,
Apodiformes,Trochilidae,Calliope Hummingbird,Selasphorus calliope,,,,,,
Apodiformes,Trochilidae,Rufous Hummingbird,Selasphorus rufus,,,,,,
Apodiformes,Trochilidae,Broad-tailed Hummingbird,Selasphorus platycercus,,,,,,
Apodiformes,Trochilidae,Xantus's Hummingbird,Basilinna xantusii,,,,,,
Gruiformes,Rallidae,American Coot,Rallus limicola,,,,,,
Gruiformes,Rallidae,Rallus limicola,Porzana carolina,,,,,,
Gruiformes,Rallidae,Porzana carolina,Gallinula galeata,,,,,,
Gruiformes,Rallidae,Gallinula galeata,Fulica americana,,Yes,,Near Threatened,NT,Rare/Accidental [NT]
Gruiformes,Rallidae,Yellow Rail,Coturnicops noveboracensis,,,,,,
Gruiformes,Gruidae,Whooping Crane,Antigone canadensis,,,,,,
Gruiformes,Gruidae,Antigone canadensis,Grus grus,,,,,,
Gruiformes,Gruidae,Grus grus,Grus americana,,,,,,
Charadriiformes,Recurvirostridae,American Avocet,Himantopus mexicanus,,,,,,
Charadriiformes,Recurvirostridae,Himantopus mexicanus,Recurvirostra americana,,,,,,
Charadriiformes,Haematopodidae,Black Oystercatcher,Haematopus bachmani,,Yes,,,,Rare/Accidental
Charadriiformes,Charadriidae,Black-bellied Plover,Pluvialis squatarola,,,,,,
Charadriiformes,Charadriidae,American Golden-Plover,Pluvialis dominica,,,,,,
Charadriiformes,Charadriidae,Pacific Golden-Plover,Pluvialis fulva,,,,,,
Charadriiformes,Charadriidae,Killdeer,Eudromias morinellus,,,,,,
Charadriiformes,Charadriidae,Eudromias morinellus,Charadrius vociferus,,,,,,
Charadriiformes,Charadriidae,Common Ringed Plover,Charadrius hiaticula,,,,,,
Charadriiformes,Charadriidae,Semipalmated Plover,Charadrius semipalmatus,,,,,,
Charadriiformes,Charadriidae,Piping Plover,Charadrius melodus,,,,,,
Charadriiformes,Charadriidae,Siberian Sand-Plover,Anarhynchus mongolus,,,,,,
Charadriiformes,Charadriidae,Snowy Plover,Anarhynchus montanus,,,,,,
Charadriiformes,Charadriidae,Anarhynchus montanus,Anarhynchus nivosus,,,,,,
Charadriiformes,Scolopacidae,Upland Sandpiper,Bartramia longicauda,,,,,,
Charadriiformes,Scolopacidae,Bristle-thighed Curlew,Numenius tahitiensis,,,,,,
Charadriiformes,Scolopacidae,Whimbrel,Numenius phaeopus,,,,Vulnerable,VU,[VU]
Charadriiformes,Scolopacidae,Marbled Godwit,Numenius americanus,,,,,,
Charadriiformes,Scolopacidae,Numenius americanus,Numenius madagascariensis,,,,,,
Charadriiformes,Scolopacidae,Numenius madagascariensis,Limosa lapponica,,,,,,
Charadriiformes,Scolopacidae,Limosa lapponica,Limosa limosa,,,,,,
Charadriiformes,Scolopacidae,Limosa limosa,Limosa haemastica,,,,,,
Charadriiformes,Scolopacidae,Limosa haemastica,Limosa fedoa,,,,,,
Charadriiformes,Scolopacidae,Short-billed Dowitcher,Limnodromus griseus,,,,,,
Charadriiformes,Scolopacidae,Long-billed Dowitcher,Limnodromus scolopaceus,,,,,,
Charadriiformes,Scolopacidae,Wilson's Snipe,Lymnocryptes minimus,,,,,,
Charadriiformes,Scolopacidae,Lymnocryptes minimus,Scolopax minor,,,,,,
Charadriiformes,Scolopacidae,Scolopax minor,Gallinago delicata,,,,,,
Charadriiformes,Scolopacidae,Wilson's Phalarope,Phalaropus tricolor,,,,,,
Charadriiformes,Scolopacidae,Red Phalarope,Phalaropus fulicarius,,,,,,
Charadriiformes,Scolopacidae,Red-necked Phalarope,Phalaropus lobatus,,,,,,
Charadriiformes,Scolopacidae,Spotted Redshank,Xenus cinereus,,,,,,
Charadriiformes,Scolopacidae,Xenus cinereus,Actitis macularius,,,,,,
Charadriiformes,Scolopacidae,Actitis macularius,Tringa solitaria,,,,,,
Charadriiformes,Scolopacidae,Tringa solitaria,Tringa brevipes,,,,,,
Charadriiformes,Scolopacidae,Tringa brevipes,Tringa incana,,,,,,
Charadriiformes,Scolopacidae,Tringa incana,Tringa glareola,,,,,,
Charadriiformes,Scolopacidae,Tringa glareola,Tringa flavipes,,,,,,
Charadriiformes,Scolopacidae,Tringa flavipes,Tringa semipalmata,,,,,,
Charadriiformes,Scolopacidae,Tringa semipalmata,Tringa erythropus,,,,,,
Charadriiformes,Scolopacidae,Common Greenshank,Tringa nebularia,,,,,,
Charadriiformes,Scolopacidae,Ruff,Tringa melanoleuca,,,,,,
Charadriiformes,Scolopacidae,Tringa melanoleuca,Arenaria interpres,,,,,,
Charadriiformes,Scolopacidae,Arenaria interpres,Arenaria melanocephala,,,,,,
Charadriiformes,Scolopacidae,Arenaria melanocephala,Calidris tenuirostris,,,,,,
Charadriiformes,Scolopacidae,Calidris tenuirostris,Calidris canutus,,,,,,
Charadriiformes,Scolopacidae,Calidris canutus,Calidris virgata,,,,,,
Charadriiformes,Scolopacidae,Calidris virgata,Calidris pugnax,,,,,,
Charadriiformes,Scolopacidae,Sharp-tailed Sandpiper,Calidris acuminata,,,,,,
Charadriiformes,Scolopacidae,Stilt Sandpiper,Calidris ferruginea,,,,,,
Charadriiformes,Scolopacidae,Calidris ferruginea,Calidris himantopus,,Yes,,Endangered,EN,Rare/Accidental [EN]
Charadriiformes,Scolopacidae,Red-necked Stint,Calidris temminckii,,,,,,
Charadriiformes,Scolopacidae,Calidris temminckii,Calidris ruficollis,,,,,,
Charadriiformes,Scolopacidae,Spoon-billed Sandpiper,Calidris pygmaea,,,,,,
Charadriiformes,Scolopacidae,Buff-breasted Sandpiper,Calidris subruficollis,,,,,,
Charadriiformes,Scolopacidae,Little Stint,Calidris alba,,,,,,
Charadriiformes,Scolopacidae,Calidris alba,Calidris alpina,,,,,,
Charadriiformes,Scolopacidae,Calidris alpina,Calidris maritima,,,,,,
Charadriiformes,Scolopacidae,Calidris maritima,Calidris ptilocnemis,,,,,,
Charadriiformes,Scolopacidae,Calidris ptilocnemis,Calidris bairdii,,,,,,
Charadriiformes,Scolopacidae,Calidris bairdii,Calidris minuta,,,,,,
Charadriiformes,Scolopacidae,White-rumped Sandpiper,Calidris fuscicollis,,,,,,
Charadriiformes,Scolopacidae,Semipalmated Sandpiper,Calidris minutilla,,,,,,
Charadriiformes,Scolopacidae,Calidris minutilla,Calidris melanotos,,,,,,
Charadriiformes,Scolopacidae,Calidris melanotos,Calidris mauri,,,,,,
Charadriiformes,Scolopacidae,Calidris mauri,Calidris pusilla,,,,,,
Charadriiformes,Stercorariidae,Long-tailed Jaeger,Stercorarius longicaudus,,,,,,
Charadriiformes,Stercorariidae,South Polar Skua,Stercorarius parasiticus,,,,,,
Charadriiformes,Stercorariidae,Stercorarius parasiticus,Stercorarius pomarinus,,,,,,
Charadriiformes,Stercorariidae,Stercorarius pomarinus,Stercorarius maccormicki,,,,,,
Charadriiformes,Alcidae,Rhinoceros Auklet,Cerorhinca monocerata,,,,,,
Charadriiformes,Alcidae,Pigeon Guillemot,Fratercula cirrhata,,,,,,
Charadriiformes,Alcidae,Fratercula cirrhata,Fratercula corniculata,,,,,,
Charadriiformes,Alcidae,Fratercula corniculata,Ptychoramphus aleuticus,,,,,,
Charadriiformes,Alcidae,Ptychoramphus aleuticus,Aethia pusilla,,,,,,
Charadriiformes,Alcidae,Aethia pusilla,Aethia cristatella,,,,,,
Charadriiformes,Alcidae,Aethia cristatella,Aethia psittacula,,,,,,
Charadriiformes,Alcidae,Aethia psittacula,Brachyramphus brevirostris,,,,,,
Charadriiformes,Alcidae,Brachyramphus brevirostris,Brachyramphus marmoratus,,,,,,
Charadriiformes,Alcidae,Brachyramphus marmoratus,Cepphus columba,,,,,,
Charadriiformes,Alcidae,Scripps's Murrelet,Alle alle,,,,,,
Charadriiformes,Alcidae,Alle alle,Uria lomvia,,,,,,
Charadriiformes,Alcidae,Uria lomvia,Uria aalge,,,,,,
Charadriiformes,Alcidae,Uria aalge,Synthliboramphus antiquus,,,,,,
Charadriiformes,Alcidae,Synthliboramphus antiquus,Synthliboramphus scrippsi,,,,,,
Charadriiformes,Alcidae,Guadalupe Murrelet,Synthliboramphus hypoleucus,,,,,,
Charadriiformes,Laridae,Ross's Gull,Hydrocoloeus minutus,,,,,,
Charadriiformes,Laridae,Hydrocoloeus minutus,Rhodostethia rosea,,,,,,
Charadriiformes,Laridae,Black-legged Kittiwake,Rissa tridactyla,,,,,,
Charadriiformes,Laridae,Red-legged Kittiwake,Rissa brevirostris,,,,,,
Charadriiformes,Laridae,Western Gull,Pagophila eburnea,,,,,,
Charadriiformes,Laridae,Pagophila eburnea,Xema sabini,,,,,,
Charadriiformes,Laridae,Xema sabini,Chroicocephalus philadelphia,,,,,,
Charadriiformes,Laridae,Chroicocephalus philadelphia,Chroicocephalus ridibundus,,,,,,
Charadriiformes,Laridae,Chroicocephalus ridibundus,Leucophaeus atricilla,,,,,,
Charadriiformes,Laridae,Leucophaeus atricilla,Leucophaeus pipixcan,,,,,,
Charadriiformes,Laridae,Leucophaeus pipixcan,Larus crassirostris,,,,,,
Charadriiformes,Laridae,Larus crassirostris,Larus heermanni,,,,,,
Charadriiformes,Laridae,Larus heermanni,Larus canus,,,,,,
Charadriiformes,Laridae,Larus canus,Larus brachyrhynchus,,,,,,
Charadriiformes,Laridae,Larus brachyrhynchus,Larus delawarensis,,,,,,
Charadriiformes,Laridae,Larus delawarensis,Larus occidentalis,,,,,,
Charadriiformes,Laridae,American Herring Gull,Larus smithsonianus,,,,,,
Charadriiformes,Laridae,Vega Gull,Larus vegae,,,,,,
Charadriiformes,Laridae,Great Black-backed Gull,Larus marinus,,,,,,
Charadriiformes,Laridae,Glaucous Gull,Larus hyperboreus,,,,,,
Charadriiformes,Laridae,Lesser Black-backed Gull,Larus fuscus,,,,,,
Charadriiformes,Laridae,Iceland Gull,Larus californicus,,,,,,
Charadriiformes,Laridae,Larus californicus,Larus glaucescens,,,,,,
Charadriiformes,Laridae,Larus glaucescens,Larus schistisagus,,,,,,
Charadriiformes,Laridae,Larus schistisagus,Larus glaucoides,,Yes,,,,Rare/Accidental
Charadriiformes,Laridae,Elegant Tern,Sternula antillarum,,,,,,
Charadriiformes,Laridae,Sternula antillarum,Hydroprogne caspia,,,,,,
Charadriiformes,Laridae,Hydroprogne caspia,Chlidonias niger,,,,,,
Charadriiformes,Laridae,Chlidonias niger,Sterna forsteri,,,,,,
Charadriiformes,Laridae,Sterna forsteri,Sterna paradisaea,,,,,,
Charadriiformes,Laridae,Sterna paradisaea,Sterna hirundo,,,,,,
Charadriiformes,Laridae,Sterna hirundo,Thalasseus elegans,,Yes,,,,Rare/Accidental
Podicipediformes,Podicipedidae,Clark's Grebe,Podilymbus podiceps,,,,,,
Podicipediformes,Podicipedidae,Podilymbus podiceps,Podiceps auritus,,,,,,
Podicipediformes,Podicipedidae,Podiceps auritus,Podiceps grisegena,,,,,,
Podicipediformes,Podicipedidae,Podiceps grisegena,Podiceps nigricollis,,,,,,
Podicipediformes,Podicipedidae,Podiceps nigricollis,Aechmophorus occidentalis,,,,,,
Podicipediformes,Podicipedidae,Aechmophorus occidentalis,Aechmophorus clarkii,,,,Vulnerable,VU,[VU]
Phaethontiformes,Phaethontidae,Red-tailed Tropicbird,Phaethon rubricauda,,Yes,,,,Rare/Accidental
Gaviiformes,Gaviidae,Yellow-billed Loon,Gavia stellata,,,,,,
Gaviiformes,Gaviidae,Gavia stellata,Gavia arctica,,,,,,
Gaviiformes,Gaviidae,Gavia arctica,Gavia pacifica,,,,,,
Gaviiformes,Gaviidae,Gavia pacifica,Gavia immer,,,,,,
Gaviiformes,Gaviidae,Gavia immer,Gavia adamsii,,,,,,
Procellariiformes,Diomedeidae,Laysan Albatross,Phoebastria immutabilis,,,,,,
Procellariiformes,Diomedeidae,Black-footed Albatross,Phoebastria nigripes,,,,,,
Procellariiformes,Diomedeidae,Short-tailed Albatross,Phoebastria albatrus,,,,,,
Procellariiformes,Hydrobatidae,Fork-tailed Storm-Petrel,Hydrobates furcatus,,,,,,
Procellariiformes,Hydrobatidae,Leach's Storm-Petrel,Hydrobates leucorhous,,,,Vulnerable,VU,[VU]
Procellariiformes,Procellariidae,Cook's Petrel,Fulmarus glacialis,,,,,,
Procellariiformes,Procellariidae,Fulmarus glacialis,Pterodroma ultima,,,,,,
Procellariiformes,Procellariidae,Pterodroma ultima,Pterodroma inexpectata,,,,,,
Procellariiformes,Procellariidae,Pterodroma inexpectata,Pterodroma sandwichensis,,,,,,
Procellariiformes,Procellariidae,Pterodroma sandwichensis,Pterodroma cookii,,,,,,
Procellariiformes,Procellariidae,Pink-footed Shearwater,Ardenna creatopus,,,,,,
Procellariiformes,Procellariidae,Flesh-footed Shearwater,Ardenna carneipes,,,,,,
Procellariiformes,Procellariidae,Sooty Shearwater,Ardenna gravis,,,,,,
Procellariiformes,Procellariidae,Ardenna gravis,Ardenna bulleri,,,,,,
Procellariiformes,Procellariidae,Ardenna bulleri,Ardenna grisea,,,,,,
Procellariiformes,Procellariidae,Short-tailed Shearwater,Ardenna tenuirostris,,,,,,
Procellariiformes,Procellariidae,Manx Shearwater,Puffinus puffinus,,,,,,
Procellariiformes,Procellariidae,Black-vented Shearwater,Puffinus opisthomelas,,Yes,,,,Rare/Accidental
Ciconiiformes,Ciconiidae,Wood Stork,Mycteria americana,,Yes,,,,Rare/Accidental
Suliformes,Fregatidae,Magnificent Frigatebird,Fregata magnificens,,Yes,,,,Rare/Accidental
Suliformes,Sulidae,Blue-footed Booby,Sula sula,,,,,,
Suliformes,Sulidae,Sula sula,Sula brewsteri,,,,,,
Suliformes,Sulidae,Sula brewsteri,Sula dactylatra,,,,,,
Suliformes,Sulidae,Sula dactylatra,Sula granti,,,,,,
Suliformes,Sulidae,Sula granti,Sula nebouxii,,Yes,,,,Rare/Accidental
Suliformes,Phalacrocoracidae,Brandt's Cormorant,Urile penicillatus,,,,,,
Suliformes,Phalacrocoracidae,Red-faced Cormorant,Urile urile,,,,,,
Suliformes,Phalacrocoracidae,Pelagic Cormorant,Urile pelagicus,,,,,,
Suliformes,Phalacrocoracidae,Double-crested Cormorant,Nannopterum auritum,,,,,,
Pelecaniformes,Threskiornithidae,White-faced Ibis,Plegadis chihi,,Yes,,,,Rare/Accidental
Pelecaniformes,Pelecanidae,American White Pelican,Pelecanus erythrorhynchos,,,,,,
Pelecaniformes,Pelecanidae,Brown Pelican,Pelecanus occidentalis,,,,,,
Pelecaniformes,Ardeidae,Least Bittern,Botaurus lentiginosus,,,,,,
Pelecaniformes,Ardeidae,Botaurus lentiginosus,Botaurus exilis,,,,,,
Pelecaniformes,Ardeidae,Black-crowned Night Heron,Nycticorax nycticorax,,,,,,
Pelecaniformes,Ardeidae,Great Blue Heron,Egretta caerulea,,,,,,
Pelecaniformes,Ardeidae,Egretta caerulea,Egretta tricolor,,,,,,
Pelecaniformes,Ardeidae,Egretta tricolor,Egretta thula,,,,,,
Pelecaniformes,Ardeidae,Egretta thula,Butorides virescens,,,,,,
Pelecaniformes,Ardeidae,Butorides virescens,Ardea ibis,,,,,,
Pelecaniformes,Ardeidae,Ardea ibis,Ardea alba,,,,,,
Pelecaniformes,Ardeidae,Ardea alba,Ardea herodias,,,,,,
Cathartiformes,Cathartidae,California Condor,Gymnogyps californianus,,,,,,
Cathartiformes,Cathartidae,Turkey Vulture,Coragyps atratus,,,,,,
