order,family,common_name,scientific_name,introduced,accidental,extirpated,global_status,status_code,notes
Cathartiformes,Cathartidae,Coragyps atratus,Cathartes aura,,,,,,
Accipitriformes,Pandionidae,Osprey,Pandion haliaetus,,,Yes,Critically Endangered,CR,Extirpated [CR]
Accipitriformes,Accipitridae,Mississippi Kite,Elanus leucurus,,,,,,
Accipitriformes,Accipitridae,Elanus leucurus,Aquila chrysaetos,,,,,,
Accipitriformes,Accipitridae,Aquila chrysaetos,Accipiter striatus,,,,,,
Accipitriformes,Accipitridae,Accipiter striatus,Astur cooperii,,,,,,
Accipitriformes,Accipitridae,Astur cooperii,Astur atricapillus,,,,,,
Accipitriformes,Accipitridae,Astur atricapillus,Circus hudsonius,,,,,,
Accipitriformes,Accipitridae,Circus hudsonius,Haliaeetus leucocephalus,,,,,,
Accipitriformes,Accipitridae,Haliaeetus leucocephalus,Ictinia mississippiensis,,,,,,
Accipitriformes,Accipitridae,Broad-winged Hawk,Buteo platypterus,,,,,,
Accipitriformes,Accipitridae,Ferruginous Hawk,Buteo lineatus,,,,,,
Accipitriformes,Accipitridae,Buteo lineatus,Buteo swainsoni,,,,,,
Accipitriformes,Accipitridae,Buteo swainsoni,Buteo jamaicensis,,,,,,
Accipitriformes,Accipitridae,Buteo jamaicensis,Buteo lagopus,,,,,,
Accipitriformes,Accipitridae,Buteo lagopus,Buteo regalis,,,,,,
Strigiformes,Tytonidae,American Barn Owl,Tyto furcata,,,,,,
Strigiformes,Strigidae,Flammulated Owl,Psiloscops flammeolus,,,,,,
Strigiformes,Strigidae,Western Screech-Owl,Megascops kennicottii,,,,,,
Strigiformes,Strigidae,Great Horned Owl,Bubo scandiacus,,,,,,
Strigiformes,Strigidae,Bubo scandiacus,Bubo virginianus,,,,,,
Strigiformes,Strigidae,Northern Hawk Owl,Surnia ulula,,,,,,
Strigiformes,Strigidae,Boreal Owl,Glaucidium gnoma,,,,,,
Strigiformes,Strigidae,Glaucidium gnoma,Athene cunicularia,,,,,,
Strigiformes,Strigidae,Athene cunicularia,Strix occidentalis,,,,,,
Strigiformes,Strigidae,Strix occidentalis,Strix varia,,,,,,
Strigiformes,Strigidae,Strix varia,Strix nebulosa,,,,,,
Strigiformes,Strigidae,Strix nebulosa,Asio otus,,,,,,
Strigiformes,Strigidae,Asio otus,Asio flammeus,,,,,,
Strigiformes,Strigidae,Asio flammeus,Aegolius funereus,,,,,,
Strigiformes,Strigidae,Northern Saw-whet Owl,Aegolius acadicus,,Yes,,,,Rare/Accidental
Coraciiformes,Alcedinidae,Belted Kingfisher,Megaceryle alcyon,,,,,,
Piciformes,Picidae,Williamson's Sapsucker,Sphyrapicus thyroideus,,,,,,
Piciformes,Picidae,Yellow-bellied Sapsucker,Sphyrapicus varius,,,,,,
Piciformes,Picidae,Red-naped Sapsucker,Sphyrapicus nuchalis,,,,,,
Piciformes,Picidae,Red-breasted Sapsucker,Sphyrapicus ruber,,,,,,
Piciformes,Picidae,Lewis's Woodpecker,Melanerpes lewis,,,,,,
Piciformes,Picidae,Red-headed Woodpecker,Melanerpes erythrocephalus,,,,,,
Piciformes,Picidae,Acorn Woodpecker,Melanerpes formicivorus,,,,,,
Piciformes,Picidae,American Three-toed Woodpecker,Picoides dorsalis,,,,,,
Piciformes,Picidae,Black-backed Woodpecker,Picoides arcticus,,,,,,
Piciformes,Picidae,Downy Woodpecker,Dryobates pubescens,,,,,,
Piciformes,Picidae,Hairy Woodpecker,Dryobates villosus,,,,,,
Piciformes,Picidae,White-headed Woodpecker,Dryobates albolarvatus,,,,,,
Piciformes,Picidae,Pileated Woodpecker,Dryocopus pileatus,,,,,,
Piciformes,Picidae,Northern Flicker,Colaptes auratus,,Yes,,,,Rare/Accidental
Falconiformes,Falconidae,Prairie Falcon,Caracara plancus,,,,,,
Falconiformes,Falconidae,Caracara plancus,Falco tinnunculus,,,,,,
Falconiformes,Falconidae,Falco tinnunculus,Falco sparverius,,,,,,
Falconiformes,Falconidae,Falco sparverius,Falco columbarius,,,,,,
Falconiformes,Falconidae,Falco columbarius,Falco rusticolus,,,,,,
Falconiformes,Falconidae,Falco rusticolus,Falco peregrinus,,,,,,
Falconiformes,Falconidae,Falco peregrinus,Falco mexicanus,,,,,,
Passeriformes,Tyrannidae,Olive-sided Flycatcher,Contopus cooperi,,,,,,
Passeriformes,Tyrannidae,Western Wood-Pewee,Contopus sordidulus,,,,,,
Passeriformes,Tyrannidae,Eastern Wood-Pewee,Contopus virens,,,,,,
Passeriformes,Tyrannidae,Yellow-bellied Flycatcher,Empidonax flaviventris,,Yes,,,,Rare/Accidental
Passeriformes,Tyrannidae,Least Flycatcher,Empidonax virescens,,,,,,
Passeriformes,Tyrannidae,Empidonax virescens,Empidonax alnorum,,,,,,
Passeriformes,Tyrannidae,Empidonax alnorum,Empidonax traillii,,,,,,
Passeriformes,Tyrannidae,Empidonax traillii,Empidonax minimus,,,,,,
Passeriformes,Tyrannidae,Hammond's Flycatcher,Empidonax hammondii,,,,,,
Passeriformes,Tyrannidae,Dusky Flycatcher,Empidonax wrightii,,,,,,
Passeriformes,Tyrannidae,Empidonax wrightii,Empidonax oberholseri,,,,,,
Passeriformes,Tyrannidae,Western Flycatcher,Empidonax difficilis,,,,,,
Passeriformes,Tyrannidae,Say's Phoebe,Sayornis nigricans,,,,,,
Passeriformes,Tyrannidae,Sayornis nigricans,Sayornis phoebe,,,,,,
Passeriformes,Tyrannidae,Sayornis phoebe,Sayornis saya,,,,,,
Passeriformes,Tyrannidae,Vermilion Flycatcher,Pyrocephalus rubinus,,,,,,
Passeriformes,Tyrannidae,Ash-throated Flycatcher,Myiarchus cinerascens,,,,,,
Passeriformes,Tyrannidae,Great Crested Flycatcher,Myiarchus crinitus,,,,,,
Passeriformes,Tyrannidae,Tropical Kingbird,Tyrannus melancholicus,,,,,,
Passeriformes,Tyrannidae,Thick-billed Kingbird,Tyrannus crassirostris,,,,,,
Passeriformes,Tyrannidae,Gray Kingbird,Tyrannus verticalis,,,,,,
Passeriformes,Tyrannidae,Tyrannus verticalis,Tyrannus tyrannus,,,,,,
Passeriformes,Tyrannidae,Tyrannus tyrannus,Tyrannus dominicensis,,,,,,
Passeriformes,Tyrannidae,Scissor-tailed Flycatcher,Tyrannus forficatus,,,,,,
Passeriformes,Tyrannidae,Fork-tailed Flycatcher,Tyrannus savana,,Yes,,,,Rare/Accidental
Passeriformes,Vireonidae,Yellow-green Vireo,Vireo atricapilla,,,,,,
Passeriformes,Vireonidae,Vireo atricapilla,Vireo griseus,,,,,,
Passeriformes,Vireonidae,Vireo griseus,Vireo bellii,,,,,,
Passeriformes,Vireonidae,Vireo bellii,Vireo huttoni,,,,,,
Passeriformes,Vireonidae,Vireo huttoni,Vireo cassinii,,,,,,
Passeriformes,Vireonidae,Vireo cassinii,Vireo solitarius,,,,,,
Passeriformes,Vireonidae,Vireo solitarius,Vireo philadelphicus,,,,,,
Passeriformes,Vireonidae,Vireo philadelphicus,Vireo gilvus,,,,,,
Passeriformes,Vireonidae,Vireo gilvus,Vireo olivaceus,,,,,,
Passeriformes,Vireonidae,Vireo olivaceus,Vireo flavoviridis,,Yes,,Near Threatened,NT,Rare/Accidental [NT]
Passeriformes,Corvidae,Common Raven,Lanius collurio,,,,,,
Passeriformes,Corvidae,Lanius collurio,Lanius cristatus,,,,,,
Passeriformes,Corvidae,Lanius cristatus,Lanius ludovicianus,,,,,,
Passeriformes,Corvidae,Lanius ludovicianus,Lanius borealis,,,,,,
Passeriformes,Corvidae,Lanius borealis,Perisoreus canadensis,,,,,,
Passeriformes,Corvidae,Perisoreus canadensis,Gymnorhinus cyanocephalus,,,,,,
Passeriformes,Corvidae,Gymnorhinus cyanocephalus,Cyanocitta stelleri,,,,,,
Passeriformes,Corvidae,Cyanocitta stelleri,Cyanocitta cristata,,,,,,
Passeriformes,Corvidae,Cyanocitta cristata,Aphelocoma californica,,,,,,
Passeriformes,Corvidae,Aphelocoma californica,Pica hudsonia,,,,,,
Passeriformes,Corvidae,Pica hudsonia,Nucifraga columbiana,,,,,,
Passeriformes,Corvidae,Nucifraga columbiana,Corvus brachyrhynchos,,,,,,
Passeriformes,Corvidae,Corvus brachyrhynchos,Corvus corax,,,,,,
Passeriformes,Paridae,Black-capped Chickadee,Poecile atricapillus,,,,,,
Passeriformes,Paridae,Mountain Chickadee,Poecile gambeli,,,,,,
Passeriformes,Paridae,Chestnut-backed Chickadee,Poecile rufescens,,,,,,
Passeriformes,Paridae,Boreal Chickadee,Poecile hudsonicus,,,,,,
Passeriformes,Alaudidae,Horned Lark,Alauda arvensis,,,,,,
Passeriformes,Alaudidae,Alauda arvensis,Eremophila alpestris,,,,,,
Passeriformes,Alaudidae,Rare/Accidental,Introduced species,,,,,,
Passeriformes,Hirundinidae,Tree Swallow,Riparia riparia,,,,,,
Passeriformes,Hirundinidae,Riparia riparia,Tachycineta bicolor,,,,,,
Passeriformes,Hirundinidae,Violet-green Swallow,Tachycineta thalassina,,,,,,
Passeriformes,Hirundinidae,Purple Martin,Progne subis,,,,,,
Passeriformes,Hirundinidae,Northern Rough-winged Swallow,Stelgidopteryx serripennis,,,,,,
Passeriformes,Hirundinidae,Barn Swallow,Hirundo rustica,,,,,,
Passeriformes,Hirundinidae,Western House-Martin,Delichon urbicum,,,,,,
Passeriformes,Hirundinidae,Cave Swallow,Petrochelidon pyrrhonota,,,,,,
Passeriformes,Hirundinidae,Petrochelidon pyrrhonota,Petrochelidon fulva,,Yes,,,,Rare/Accidental
Passeriformes,Phylloscopidae,Yellow-browed Warbler,Phylloscopus inornatus,,Yes,,,,Rare/Accidental
Passeriformes,Aegithalidae,Bushtit,Psaltriparus minimus,,,,,,
Passeriformes,Regulidae,Ruby-crowned Kinglet,Corthylio calendula,,,,,,
Passeriformes,Regulidae,Golden-crowned Kinglet,Regulus satrapa,,,,,,
Passeriformes,Sittidae,White-breasted Nuthatch,Sitta carolinensis,,,,,,
Passeriformes,Sittidae,Pygmy Nuthatch,Sitta pygmaea,,,,,,
Passeriformes,Sittidae,Red-breasted Nuthatch,Sitta canadensis,,,,,,
Passeriformes,Certhiidae,Brown Creeper,Certhia americana,,,,,,
Passeriformes,Polioptilidae,Blue-gray Gnatcatcher,Polioptila caerulea,,Yes,,,,Rare/Accidental
Passeriformes,Troglodytidae,Canyon Wren,Salpinctes obsoletus,,,,,,
Passeriformes,Troglodytidae,Salpinctes obsoletus,Catherpes mexicanus,,,,,,
Passeriformes,Troglodytidae,Northern House Wren,Troglodytes aedon,,,,,,
Passeriformes,Troglodytidae,Bewick's Wren,Troglodytes pacificus,,,,,,
Passeriformes,Troglodytidae,Troglodytes pacificus,Troglodytes hiemalis,,,,,,
Passeriformes,Troglodytidae,Troglodytes hiemalis,Cistothorus stellaris,,,,,,
Passeriformes,Troglodytidae,Cistothorus stellaris,Cistothorus palustris,,,,,,
Passeriformes,Troglodytidae,Cistothorus palustris,Thryomanes bewickii,,,,,,
Passeriformes,Cinclidae,American Dipper,Cinclus mexicanus,,,,,,
Passeriformes,Sturnidae,Crested Myna,Sturnus vulgaris,,,,,,
Passeriformes,Sturnidae,Sturnus vulgaris,Acridotheres cristatellus,,,,,,
Passeriformes,Mimidae,Gray Catbird,Dumetella carolinensis,,,,,,
Passeriformes,Mimidae,Curve-billed Thrasher,Toxostoma curvirostre,,,,,,
Passeriformes,Mimidae,Sage Thrasher,Toxostoma rufum,,,,,,
Passeriformes,Mimidae,Toxostoma rufum,Oreoscoptes montanus,,,,,,
Passeriformes,Mimidae,Northern Mockingbird,Mimus polyglottos,,,,,,
Passeriformes,Turdidae,Mountain Bluebird,Sialia sialis,,,,,,
Passeriformes,Turdidae,Sialia sialis,Sialia mexicana,,,,,,
Passeriformes,Turdidae,Sialia mexicana,Sialia currucoides,,,,,,
Passeriformes,Turdidae,Townsend's Solitaire,Myadestes townsendi,,,,,,
Passeriformes,Turdidae,Redwing,Ixoreus naevius,,,,,,
Passeriformes,Turdidae,Ixoreus naevius,Catharus fuscescens,,,,,,
Passeriformes,Turdidae,Catharus fuscescens,Catharus minimus,,,,,,
Passeriformes,Turdidae,Catharus minimus,Catharus ustulatus,,,,,,
Passeriformes,Turdidae,Catharus ustulatus,Catharus guttatus,,,,,,
Passeriformes,Turdidae,Catharus guttatus,Hylocichla mustelina,,,,,,
Passeriformes,Turdidae,Hylocichla mustelina,Turdus iliacus,,Yes,,,,Rare/Accidental
Passeriformes,Turdidae,Rare/Accidental,Introduced species,,,Yes,,,Extirpated
Passeriformes,Turdidae,Dusky Thrush,Turdus migratorius,,,,,,
Passeriformes,Turdidae,Turdus migratorius,Turdus pilaris,,,,,,
Passeriformes,Turdidae,Turdus pilaris,Turdus eunomus,,,,,,
Passeriformes,Muscicapidae,Red-flanked Bluetail,Tarsiger cyanurus,,,,,,
Passeriformes,Muscicapidae,Northern Wheatear,Monticola solitarius,,,,,,
Passeriformes,Muscicapidae,Monticola solitarius,Oenanthe oenanthe,,,,,,
Passeriformes,Bombycillidae,Bohemian Waxwing,Bombycilla garrulus,,,,,,
Passeriformes,Bombycillidae,Cedar Waxwing,Bombycilla cedrorum,,,,,,
Passeriformes,Prunellidae,Siberian Accentor,Prunella montanella,,Yes,,,,Rare/Accidental
Passeriformes,Passeridae,House Sparrow,Passer domesticus,Yes,,,,,Introduced species
Passeriformes,Motacillidae,Gray Wagtail,Motacilla cinerea,,,,,,
Passeriformes,Motacillidae,Eastern Yellow Wagtail,Motacilla tschutschensis,,,,,,
Passeriformes,Motacillidae,Sprague's Pipit,Motacilla citreola,,,,,,
Passeriformes,Motacillidae,Motacilla citreola,Motacilla alba,,,,,,
Passeriformes,Motacillidae,Motacilla alba,Anthus cervinus,,,,,,
Passeriformes,Motacillidae,Anthus cervinus,Anthus japonicus,,,,,,
Passeriformes,Motacillidae,Anthus japonicus,Anthus rubescens,,,,,,
Passeriformes,Motacillidae,Anthus rubescens,Anthus spragueii,,Yes,,,,Rare/Accidental
Passeriformes,Fringillidae,Brambling,Fringilla montifringilla,,Yes,,,,Rare/Accidental
Passeriformes,Fringillidae,Pine Grosbeak,Coccothraustes vespertinus,,,,,,
Passeriformes,Fringillidae,Coccothraustes vespertinus,Pinicola enucleator,,,,,,
Passeriformes,Fringillidae,Gray-crowned Rosy-Finch,Leucosticte tephrocotis,,,,,,
Passeriformes,Fringillidae,Cassin's Finch,Haemorhous mexicanus,,,,,,
Passeriformes,Fringillidae,Haemorhous mexicanus,Haemorhous purpureus,,,,,,
Passeriformes,Fringillidae,Haemorhous purpureus,Haemorhous cassinii,,,,Vulnerable,VU,[VU]
Passeriformes,Fringillidae,Oriental Greenfinch,Chloris sinica,,Yes,,,,Rare/Accidental
Passeriformes,Fringillidae,American Goldfinch,Acanthis flammea,,,,,,
Passeriformes,Fringillidae,Acanthis flammea,Loxia curvirostra,,,,,,
Passeriformes,Fringillidae,Loxia curvirostra,Loxia leucoptera,,,,,,
Passeriformes,Fringillidae,Loxia leucoptera,Spinus pinus,,,,,,
Passeriformes,Fringillidae,Spinus pinus,Spinus psaltria,,,,,,
Passeriformes,Fringillidae,Spinus psaltria,Spinus tristis,,Yes,,,,Rare/Accidental
Passeriformes,Calcariidae,Lapland Longspur,Calcarius lapponicus,,,,,,
Passeriformes,Calcariidae,Chestnut-collared Longspur,Calcarius ornatus,,,,,,
Passeriformes,Calcariidae,Smith's Longspur,Calcarius pictus,,,,,,
Passeriformes,Calcariidae,Thick-billed Longspur,Rhynchophanes mccownii,,,,,,
Passeriformes,Calcariidae,McKay's Bunting,Plectrophenax nivalis,,,,,,
Passeriformes,Calcariidae,Plectrophenax nivalis,Plectrophenax hyperboreus,,,,,,
Passeriformes,Emberizidae,Rustic Bunting,Emberiza leucocephalos,,,,,,
Passeriformes,Emberizidae,Emberiza leucocephalos,Emberiza pallasi,,,,,,
Passeriformes,Emberizidae,Emberiza pallasi,Emberiza pusilla,,,,,,
Passeriformes,Emberizidae,Emberiza pusilla,Emberiza rustica,,Yes,,Vulnerable,VU,Rare/Accidental [VU]
Passeriformes,Passerellidae,Grasshopper Sparrow,Ammodramus savannarum,,,,,,
Passeriformes,Passerellidae,Chipping Sparrow,Spizella passerina,,,,,,
Passeriformes,Passerellidae,Clay-colored Sparrow,Spizella pallida,,,,,,
Passeriformes,Passerellidae,Brewer's Sparrow,Spizella pusilla,,,,,,
Passeriformes,Passerellidae,Spizella pusilla,Spizella breweri,,,,,,
Passeriformes,Passerellidae,Black-throated Sparrow,Amphispiza bilineata,,,,,,
Passeriformes,Passerellidae,Lark Bunting,Chondestes grammacus,,,,,,
Passeriformes,Passerellidae,Chondestes grammacus,Calamospiza melanocorys,,,,,,
Passeriformes,Passerellidae,American Tree Sparrow,Spizelloides arborea,,,,,,
Passeriformes,Passerellidae,Dark-eyed Junco,Passerella iliaca,,,,,,
Passeriformes,Passerellidae,Passerella iliaca,Junco hyemalis,,,,,,
Passeriformes,Passerellidae,White-crowned Sparrow,Zonotrichia leucophrys,,,,,,
Passeriformes,Passerellidae,Golden-crowned Sparrow,Zonotrichia atricapilla,,,,,,
Passeriformes,Passerellidae,Harris's Sparrow,Zonotrichia querula,,,,,,
Passeriformes,Passerellidae,White-throated Sparrow,Zonotrichia albicollis,,,,,,
Passeriformes,Passerellidae,Sagebrush Sparrow,Artemisiospiza nevadensis,,,,,,
Passeriformes,Passerellidae,Spotted Towhee,Artemisiospiza belli,,,,,,
Passeriformes,Passerellidae,Artemisiospiza belli,Pooecetes gramineus,,,,,,
Passeriformes,Passerellidae,Pooecetes gramineus,Ammospiza leconteii,,,,,,
Passeriformes,Passerellidae,Ammospiza leconteii,Ammospiza nelsoni,,,,,,
Passeriformes,Passerellidae,Ammospiza nelsoni,Passerculus sandwichensis,,,,,,
Passeriformes,Passerellidae,Passerculus sandwichensis,Centronyx bairdii,,,,,,
Passeriformes,Passerellidae,Centronyx bairdii,Melospiza melodia,,,,,,
Passeriformes,Passerellidae,Melospiza melodia,Melospiza lincolnii,,,,,,
Passeriformes,Passerellidae,Melospiza lincolnii,Melospiza georgiana,,,,,,
Passeriformes,Passerellidae,Melospiza georgiana,Pipilo chlorurus,,,,,,
Passeriformes,Passerellidae,Pipilo chlorurus,Pipilo maculatus,,,,,,
Passeriformes,Icteriidae,Yellow-breasted Chat,Icteria virens,,Yes,,,,Rare/Accidental
Passeriformes,Icteridae,Yellow-headed Blackbird,Xanthocephalus xanthocephalus,,,,,,
Passeriformes,Icteridae,Bobolink,Dolichonyx oryzivorus,,,,,,
Passeriformes,Icteridae,Western Meadowlark,Sturnella neglecta,,,,,,
Passeriformes,Icteridae,Orchard Oriole,Icterus spurius,,Yes,,,,Rare/Accidental
Passeriformes,Icteridae,Baltimore Oriole,Icterus cucullatus,,,,,,
Passeriformes,Icteridae,Icterus cucullatus,Icterus bullockii,,,,,,
Passeriformes,Icteridae,Icterus bullockii,Icterus galbula,,,,,,
Passeriformes,Icteridae,Red-winged Blackbird,Agelaius phoeniceus,,,,,,
Passeriformes,Icteridae,Brown-headed Cowbird,Molothrus ater,,,,,,
Passeriformes,Icteridae,Common Grackle,Euphagus carolinus,,,,,,
Passeriformes,Icteridae,Euphagus carolinus,Euphagus cyanocephalus,,,,,,
Passeriformes,Icteridae,Euphagus cyanocephalus,Quiscalus quiscula,,Yes,,,,Rare/Accidental
Passeriformes,Icteridae,Great-tailed Grackle,Quiscalus mexicanus,,Yes,,,,Rare/Accidental
Passeriformes,Parulidae,Ovenbird,Seiurus aurocapilla,,,,,,
Passeriformes,Parulidae,Northern Waterthrush,Parkesia noveboracensis,,,,,,
Passeriformes,Parulidae,Golden-winged Warbler,Vermivora chrysoptera,,,,,,
Passeriformes,Parulidae,Blue-winged Warbler,Vermivora cyanoptera,,,,,,
Passeriformes,Parulidae,Black-and-white Warbler,Mniotilta varia,,,,,,
Passeriformes,Parulidae,Prothonotary Warbler,Protonotaria citrea,,,,,,
Passeriformes,Parulidae,Tennessee Warbler,Leiothlypis peregrina,,,,,,
Passeriformes,Parulidae,Orange-crowned Warbler,Leiothlypis celata,,,,,,
Passeriformes,Parulidae,Nashville Warbler,Leiothlypis luciae,,,,,,
Passeriformes,Parulidae,Leiothlypis luciae,Leiothlypis ruficapilla,,,,,,
Passeriformes,Parulidae,Connecticut Warbler,Oporornis agilis,,,,,,
Passeriformes,Parulidae,MacGillivray's Warbler,Geothlypis tolmiei,,,,,,
Passeriformes,Parulidae,Magnolia Warbler,Geothlypis philadelphia,,,,,,
Passeriformes,Parulidae,Geothlypis philadelphia,Geothlypis formosa,,,,,,
Passeriformes,Parulidae,Geothlypis formosa,Geothlypis trichas,,,,,,
Passeriformes,Parulidae,Geothlypis trichas,Setophaga citrina,,,,,,
Passeriformes,Parulidae,Setophaga citrina,Setophaga ruticilla,,,,,,
Passeriformes,Parulidae,Setophaga ruticilla,Setophaga tigrina,,,,,,
Passeriformes,Parulidae,Setophaga tigrina,Setophaga americana,,,,,,
Passeriformes,Parulidae,Setophaga americana,Setophaga magnolia,,,,,,
Passeriformes,Parulidae,Bay-breasted Warbler,Setophaga castanea,,,,,,
Passeriformes,Parulidae,Blackburnian Warbler,Setophaga fusca,,Yes,,Near Threatened,NT,Rare/Accidental [NT]
Passeriformes,Parulidae,Yellow Warbler,Setophaga petechia,,,,,,
Passeriformes,Parulidae,Chestnut-sided Warbler,Setophaga pensylvanica,,,,,,
Passeriformes,Parulidae,Blackpoll Warbler,Setophaga striata,,,,,,
Passeriformes,Parulidae,Black-throated Blue Warbler,Setophaga caerulescens,,,,,,
Passeriformes,Parulidae,Pine Warbler,Setophaga palmarum,,,,,,
Passeriformes,Parulidae,Setophaga palmarum,Setophaga pinus,,,,,,
Passeriformes,Parulidae,Yellow-rumped Warbler,Setophaga coronata,,,,,,
Passeriformes,Parulidae,Yellow-throated Warbler,Setophaga dominica,,,,,,
Passeriformes,Parulidae,Prairie Warbler,Setophaga discolor,,,,,,
Passeriformes,Parulidae,Black-throated Gray Warbler,Setophaga nigrescens,,,,,,
Passeriformes,Parulidae,Townsend's Warbler,Setophaga townsendi,,,,,,
Passeriformes,Parulidae,Hermit Warbler,Setophaga occidentalis,,Yes,,,,Rare/Accidental
Passeriformes,Parulidae,Black-throated Green Warbler,Setophaga virens,,,,,,
Passeriformes,Parulidae,Painted Redstart,Cardellina canadensis,,,,,,
Passeriformes,Parulidae,Cardellina canadensis,Cardellina pusilla,,,,,,
Passeriformes,Parulidae,Cardellina pusilla,Myioborus pictus,,,,,,
Passeriformes,Cardinalidae,Northern Cardinal,Piranga rubra,,,,,,
Passeriformes,Cardinalidae,Piranga rubra,Piranga olivacea,,,,,,
Passeriformes,Cardinalidae,Piranga olivacea,Piranga ludoviciana,,,,,,
Passeriformes,Cardinalidae,Piranga ludoviciana,Cardinalis cardinalis,,,,,,
Passeriformes,Cardinalidae,Rose-breasted Grosbeak,Pheucticus ludovicianus,,,,,,
Passeriformes,Cardinalidae,Black-headed Grosbeak,Pheucticus melanocephalus,,,,,,
Passeriformes,Cardinalidae,Dickcissel,Passerina caerulea,,,,,,
Passeriformes,Cardinalidae,Passerina caerulea,Passerina amoena,,,,,,
Passeriformes,Cardinalidae,Passerina amoena,Passerina cyanea,,,,,,
Passeriformes,Cardinalidae,Passerina cyanea,Passerina ciris,,,,,,
Passeriformes,Cardinalidae,Passerina ciris,Spiza americana,,Yes,,,,Rare/Accidental
