"name","eng_name","nest","nsbank","nsgroun","nsgrass","nsclif","nsbuild","nsshru","nsdeci","nsconi","nssnag","nscact","nstang","ntree","nesting.location","Order","Family","sci_name","status"
"Aix sponsa","Wood Duck","cavity",0,5,0,0,0,0,50,0,45,0,0,50,NA,"ANSERIFORMES"," Anatidae","Aix sponsa",""
"Aythya fuligula","Tufted Duck","scrape",0,50,50,0,0,0,0,0,0,0,0,0,NA,"ANSERIFORMES"," Anatidae","Aythya fuligula","Rare/Accidental"
"Bucephala clangula","Common Goldeneye","cavity",0,5,0,5,0,0,30,10,50,0,0,40,NA,"ANSERIFORMES"," Anatidae","Bucephala clangula",""
"Bucephala islandica","Barrow's Goldeneye","cavity",0,0,0,5,0,0,30,15,50,0,0,45,NA,"ANSERIFORMES"," Anatidae","Bucephala islandica",""
"Mergus merganser","Common Merganser","cavity",0,5,0,5,5,0,20,15,50,0,0,35,NA,"ANSERIFORMES"," Anatidae","Mergus merganser",""
"Archilochus alexandri","Black-chinned Hummingbird","cup",0,0,0,0,0,50,50,0,0,0,0,50,NA,"APODIFORMES"," Trochilidae","Archilochus alexandri",""
"Calypte costae","Costa's Hummingbird","cup",0,0,0,0,0,40,40,0,0,0,20,40,NA,"APODIFORMES"," Trochilidae","Calypte costae","Rare/Accidental"
"Brachyramphus marmoratus","Marbled Murrelet","saucer",0,50,0,0,0,0,10,40,0,0,0,50,NA,"CHARADRIIFORMES"," Alcidae","Brachyramphus marmoratus","Endangered"
"Larus schistisagus","Slaty-backed Gull","saucer",0,50,0,50,0,0,0,0,0,0,0,0,NA,"CHARADRIIFORMES"," Laridae","Larus schistisagus","Rare/Accidental"
"Larus fuscus","Lesser Black-backed Gull","saucer",0,30,10,40,20,0,0,0,0,0,0,0,NA,"CHARADRIIFORMES"," Laridae","Larus fuscus","Rare/Accidental"
"Phalacrocorax auritus","Double-crested Cormorant","platform",0,30,0,20,20,0,15,15,0,0,0,30,NA,"SULIFORMES"," Phalacrocoracidae","Nannopterum auritum",""
"Pelecanus occidentalis","Brown Pelican","saucer",0,50,0,30,0,0,10,10,0,0,0,20,NA,"PELECANIFORMES"," Pelecanidae","Pelecanus occidentalis",""
"Egretta thula","Snowy Egret","platform",0,0,0,0,0,20,30,20,30,0,0,50,NA,"PELECANIFORMES"," Ardeidae","Egretta thula","Rare/Accidental"
"Egretta caerulea","Little Blue Heron","platform",0,0,0,0,0,20,30,20,30,0,0,50,NA,"PELECANIFORMES"," Ardeidae","Egretta caerulea","Rare/Accidental"
"Plegadis chihi","White-faced Ibis","platform",0,20,40,0,0,20,10,10,0,0,0,20,NA,"PELECANIFORMES"," Threskiornithidae","Plegadis chihi","Rare/Accidental"
"Coragyps atratus","Black Vulture","no",0,20,0,50,30,0,0,0,0,0,0,0,NA,"CATHARTIFORMES"," Cathartidae","Coragyps atratus","Rare/Accidental"
"Buteo lagopus","Rough-legged Hawk","platform",0,0,0,50,0,0,10,40,0,0,0,50,NA,"ACCIPITRIFORMES"," Accipitridae","Buteo lagopus",""
"Buteo regalis","Ferruginous Hawk","platform",0,0,0,10,10,0,20,20,40,0,0,40,NA,"ACCIPITRIFORMES"," Accipitridae","Buteo regalis","Rare/Accidental"
"Bubo virginianus","Great Horned Owl","cavity",0,0,0,20,20,0,30,10,20,0,0,40,NA,"STRIGIFORMES"," Strigidae","Bubo virginianus",""
"Surnia ulula","Northern Hawk Owl","platform",0,0,0,10,0,0,20,20,50,0,0,40,NA,"STRIGIFORMES"," Strigidae","Surnia ulula",""
"Strix occidentalis","Spotted Owl","cavity",0,0,0,30,0,0,10,30,30,0,0,40,NA,"STRIGIFORMES"," Strigidae","Strix occidentalis","Rare/Accidental Near-threatened"
"Aegolius funereus","Boreal Owl","cavity",0,0,0,0,10,0,20,20,50,0,0,40,NA,"STRIGIFORMES"," Strigidae","Aegolius funereus",""
"Aegolius acadicus","Northern Saw-whet Owl","cavity",0,0,0,0,0,0,25,25,50,0,0,50,NA,"STRIGIFORMES"," Strigidae","Aegolius acadicus",""
"Picoides albolarvatus","White-headed Woodpecker","cavity",0,0,0,0,10,0,0,40,50,0,0,40,NA,"PICIFORMES"," Picidae","Dryobates albolarvatus","Rare/Accidental"
"Tyrannus melancholicus","Tropical Kingbird","cup",0,0,0,0,0,20,20,20,40,0,0,40,NA,"PASSERIFORMES"," Tyrannidae","Tyrannus melancholicus",""
"Tyrannus verticalis","Western Kingbird","cup",0,0,0,5,35,10,20,10,10,10,0,30,NA,"PASSERIFORMES"," Tyrannidae","Tyrannus verticalis",""
"Tyrannus tyrannus","Eastern Kingbird","cup",0,0,0,0,10,30,40,10,10,0,0,50,NA,"PASSERIFORMES"," Tyrannidae","Tyrannus tyrannus",""
"Tyrannus forficatus","Scissor-tailed Flycatcher","cup",0,0,0,0,20,30,40,10,0,0,0,50,NA,"PASSERIFORMES"," Tyrannidae","Tyrannus forficatus","Rare/Accidental"
"Tyrannus savana","Fork-tailed Flycatcher","cup",0,0,0,0,20,30,40,10,0,0,0,50,NA,"PASSERIFORMES"," Tyrannidae","Tyrannus savana","Rare/Accidental"
"Vireo solitarius","Blue-headed Vireo","cup",0,0,0,0,0,50,10,40,0,0,0,50,NA,"PASSERIFORMES"," Vireonidae","Vireo solitarius",""
"Pica hudsonia","Black-billed Magpie","sphere",0,0,0,0,10,40,25,25,0,0,0,50,NA,"PASSERIFORMES"," Corvidae","Pica hudsonia",""
"Corvus corax","Common Raven","cup",0,0,0,30,30,0,10,30,0,0,0,40,NA,"PASSERIFORMES"," Corvidae","Corvus corax",""
"Parus atricapillus","Black-capped Chickadee","cavity",0,0,0,0,0,0,50,0,50,0,0,50,NA,"PASSERIFORMES"," Paridae","Poecile atricapillus",""
"Parus rufescens","Chestnut-backed Chickadee","cavity",0,0,0,0,5,0,25,25,45,0,0,50,NA,"PASSERIFORMES"," Paridae","Poecile rufescens",""
"Progne subis","Purple Martin","cavity",0,0,0,0,30,0,10,10,40,10,0,20,NA,"PASSERIFORMES"," Hirundinidae","Progne subis",""
"Tachycineta thalassina","Violet-green Swallow","cavity",10,0,0,30,0,0,10,10,40,0,0,20,NA,"PASSERIFORMES"," Hirundinidae","Tachycineta thalassina",""
"Psaltriparus minimus","Bushtit","pend",0,0,0,0,0,40,30,20,10,0,0,50,NA,"PASSERIFORMES"," Aegithalidae","Psaltriparus minimus",""
"Troglodytes pacificus","Pacific Wren","cavity",0,20,0,10,20,0,10,10,30,0,0,20,NA,"PASSERIFORMES"," Troglodytidae","Troglodytes pacificus",""
"Troglodytes hiemalis","Winter Wren","cavity",0,20,0,10,20,0,10,10,30,0,0,20,NA,"PASSERIFORMES"," Troglodytidae","Troglodytes hiemalis",""
"Thryomanes bewickii","Bewick's Wren","cavity",0,10,0,10,30,0,10,10,30,0,0,20,NA,"PASSERIFORMES"," Troglodytidae","Thryomanes bewickii",""
"Cinclus mexicanus","American Dipper","cup",0,40,0,40,20,0,0,0,0,0,0,0,NA,"PASSERIFORMES"," Cinclidae","Cinclus mexicanus",""
"Sialia sialis","Eastern Bluebird","cavity",0,0,0,0,0,0,30,20,50,0,0,50,NA,"PASSERIFORMES"," Turdidae","Sialia sialis","Rare/Accidental"
"Sialia mexicana","Western Bluebird","cavity",0,0,0,0,5,0,45,0,50,0,0,45,NA,"PASSERIFORMES"," Turdidae","Sialia mexicana",""
"Myadestes townsendi","Townsend's Solitaire","cup",0,20,40,0,0,10,0,0,30,0,0,0,NA,"PASSERIFORMES"," Turdidae","Myadestes townsendi",""
"Catharus fuscescens","Veery","cup",0,30,30,0,0,40,0,0,0,0,0,0,NA,"PASSERIFORMES"," Turdidae","Catharus fuscescens",""
"Catharus guttatus","Hermit Thrush","cup",0,20,20,0,0,20,10,30,0,0,0,40,NA,"PASSERIFORMES"," Turdidae","Catharus guttatus",""
"Motacilla alba","White Wagtail","crevice",50,0,0,20,30,0,0,0,0,0,0,0,NA,"PASSERIFORMES"," Motacillidae","Motacilla alba","Rare/Accidental"
"Carpodacus mexicanus","House Finch","cup",0,0,0,0,20,0,20,20,20,20,0,40,NA,"PASSERIFORMES"," Fringillidae","Haemorhous mexicanus",""
"Spizella passerina","Chipping Sparrow","cup",0,0,10,0,0,40,10,40,0,0,0,50,NA,"PASSERIFORMES"," Passerellidae","Spizella passerina",""
"Spizella pusilla","Field Sparrow","cup",0,0,50,0,0,50,0,0,0,0,0,0,NA,"PASSERIFORMES"," Passerellidae","Spizella pusilla","Rare/Accidental"
"Chondestes grammacus","Lark Sparrow","cup",0,30,30,0,0,40,0,0,0,0,0,0,NA,"PASSERIFORMES"," Passerellidae","Chondestes grammacus",""
"Spizella arborea","American Tree Sparrow","cup",0,20,40,0,0,40,0,0,0,0,0,0,NA,"PASSERIFORMES"," Passerellidae","Spizelloides arborea",""
"Passerella iliaca","Fox Sparrow","cup",0,0,30,0,0,30,40,0,0,0,0,40,NA,"PASSERIFORMES"," Passerellidae","Passerella iliaca",""
"Junco hyemalis","Dark-eyed Junco","cavity",30,50,10,10,0,0,0,0,0,0,0,0,NA,"PASSERIFORMES"," Passerellidae","Junco hyemalis",""
"Zonotrichia querula","Harris's Sparrow","cup",0,0,50,0,0,50,0,0,0,0,0,0,NA,"PASSERIFORMES"," Passerellidae","Zonotrichia querula","Near-threatened"
"Melospiza melodia","Song Sparrow","cup",0,0,45,0,0,45,5,5,0,0,0,10,NA,"PASSERIFORMES"," Passerellidae","Melospiza melodia",""
"Molothrus ater","Brown-headed Cowbird","paras",0,20,30,0,0,30,10,10,0,0,0,20,NA,"PASSERIFORMES"," Icteridae","Molothrus ater",""
"Quiscalus mexicanus","Great-tailed Grackle","cup",0,0,30,0,0,20,50,0,0,0,0,50,NA,"PASSERIFORMES"," Icteridae","Quiscalus mexicanus","Rare/Accidental"
"Vermivora celata","Orange-crowned Warbler","cup",0,40,30,0,0,20,0,0,0,0,10,0,NA,"PASSERIFORMES"," Parulidae","Leiothlypis celata",""
"Oporornis agilis","Connecticut Warbler","cup",0,40,50,0,0,10,0,0,0,0,0,0,NA,"PASSERIFORMES"," Parulidae","Oporornis agilis",""
"Oporornis tolmiei","MacGillivray's Warbler","cup",0,30,50,0,0,20,0,0,0,0,0,0,NA,"PASSERIFORMES"," Parulidae","Geothlypis tolmiei",""
"Oporornis philadelphia","Mourning Warbler","cup",0,20,40,0,0,20,0,0,0,0,20,0,NA,"PASSERIFORMES"," Parulidae","Geothlypis philadelphia",""
"Oporornis formosus","Kentucky Warbler","cup",0,40,50,0,0,10,0,0,0,0,0,0,NA,"PASSERIFORMES"," Parulidae","Geothlypis formosa","Rare/Accidental"
"Geothlypis trichas","Common Yellowthroat","cup",0,20,30,0,0,50,0,0,0,0,0,0,NA,"PASSERIFORMES"," Parulidae","Geothlypis trichas",""
"Dendroica petechia","Yellow Warbler","cup",0,0,10,0,0,40,25,25,0,0,0,50,NA,"PASSERIFORMES"," Parulidae","Setophaga petechia",""
"Dendroica palmarum","Palm Warbler","cup",0,20,40,0,0,20,20,0,0,0,0,20,NA,"PASSERIFORMES"," Parulidae","Setophaga palmarum",""
"Dendroica discolor","Prairie Warbler","cup",0,0,0,0,0,30,0,30,30,0,10,30,NA,"PASSERIFORMES"," Parulidae","Setophaga discolor","Rare/Accidental"
"Wilsonia pusilla","Wilson's Warbler","cup",0,40,40,0,0,0,0,0,0,0,20,0,NA,"PASSERIFORMES"," Parulidae","Cardellina pusilla",""
"Myioborus pictus","Painted Redstart","cup",10,40,40,10,0,0,0,0,0,0,0,0,NA,"PASSERIFORMES"," Parulidae","Myioborus pictus","Rare/Accidental"
"Cardinalis cardinalis","Northern Cardinal","cup",0,0,0,0,0,50,20,10,0,0,20,30,NA,"PASSERIFORMES"," Cardinalidae","Cardinalis cardinalis","Rare/Accidental"
"Pheucticus ludovicianus","Rose-breasted Grosbeak","cup",0,0,0,0,0,30,30,20,0,0,20,50,NA,"PASSERIFORMES"," Cardinalidae","Pheucticus ludovicianus",""
"Passerina caerulea","Blue Grosbeak","cup",0,0,0,0,0,40,30,20,0,0,10,50,NA,"PASSERIFORMES"," Cardinalidae","Passerina caerulea","Rare/Accidental"
